id,name,category_id:id
filing_second_cate_0001,区域规划,cat1
filing_second_cate_0002,城镇体系规划（城乡统筹）,cat1
filing_second_cate_0003,总体规划,cat1
filing_second_cate_0004,战略规划,cat1
filing_second_cate_0005,概念规划,cat1
filing_second_cate_0006,技术标准/规范/指引制定,cat2
filing_second_cate_0007,政策研究,cat2
filing_second_cate_0008,前期研究,cat2
filing_second_cate_0009,选址研究,cat2
filing_second_cate_0010,可行性研究,cat2
filing_second_cate_0011,战略/策略研究,cat2
filing_second_cate_0012,国民经济与社会发展专项规划,cat2
filing_second_cate_0013,绿地、交通、公共（市政）设施、旅游、公共空间等专项规划,cat2
filing_second_cate_0014,新区（开发区）规划,cat3
filing_second_cate_0015,社区规划,cat3
filing_second_cate_0016,法定图则新编（修编）,cat4
filing_second_cate_0017,发展单元规划,cat4
filing_second_cate_0018,地块开发规划,cat6
filing_second_cate_0019,设计要点规划,cat6
filing_second_cate_0020,旧改专项规划,cat7
filing_second_cate_0021,更新单元规划,cat7
filing_second_cate_0022,区（街道）整体更新规划,cat7
filing_second_cate_0023,城市整体城市（含风光带、景观带）,cat8
filing_second_cate_0024,新区城市设计,cat8
filing_second_cate_0025,旧区环境提升改造城市设计,cat8
filing_second_cate_0026,地块城市设计,cat8
filing_second_cate_0027,城市道路工程规划/设计/研究,cat9
filing_second_cate_0028,公路工程规划/设计/研究,cat9
filing_second_cate_0029,交通枢纽和口岸工程规划/设计/研究,cat9
filing_second_cate_0030,桥梁工程规划/设计/研究,cat9
filing_second_cate_0031,环境工程规划/设计/研究,cat9
filing_second_cate_0032,给排水工程规划/设计/研究,cat9
filing_second_cate_0033,城市防洪工程规划/设计/研究,cat9
filing_second_cate_0034,轨道相关工程规划/设计/研究,cat9
filing_second_cate_0035,场地工程规划/设计/研究,cat9
filing_second_cate_0036,岩土工程规划/设计/研究,cat9
filing_second_cate_0037,电力和通信工程规划/设计/研究,cat9
filing_second_cate_0038,交通工程规划/设计/研究,cat9
filing_second_cate_0039,绿化景观工程规划/设计/研究,cat9
filing_second_cate_0040,综合交通规划/研究/咨询,cat13
filing_second_cate_0041,轨道交通规划/研究/咨询,cat13
filing_second_cate_0042,交通枢纽规划/研究/咨询,cat13
filing_second_cate_0043,交通子系统规划/研究/咨询,cat13
filing_second_cate_0044,交通组织与设计规划/研究/咨询,cat13
filing_second_cate_0045,智能交通规划/研究/咨询,cat13
filing_second_cate_0046,市政综合规划/研究/咨询,cat10
filing_second_cate_0047,给排水规划/研究/咨询,cat10
filing_second_cate_0048,电力通信规划/研究/咨询,cat10
filing_second_cate_0049,油气及危险品规划/研究/咨询,cat10
filing_second_cate_0050,环卫环境规划/研究/咨询,cat10
filing_second_cate_0051,防灾规划/研究/咨询,cat10
filing_second_cate_0052,环评规划/研究/咨询,cat10
filing_second_cate_0053,技术服务,cat11
